source_name,nb of posts fb,nb comments fb,nb posts insta,nb comments insta,nb posts tik,nb comm tik,nb of posts maps,nb comments maps,total posts,total comments
Iceberg,0,0,0,0,1,35,0,0,1,35
Barbes Food,0,0,0,0,1,34,0,0,1,34
Don Sido,0,0,0,0,1,34,0,0,1,34
Mahroussaglace,0,0,1,34,0,0,0,0,1,34
Jardina Coffee,0,0,1,24,1,9,0,0,2,33
Derby Food,0,0,0,0,1,33,0,0,1,33
Terre Et Mer Annaba,0,0,0,0,1,33,0,0,1,33
Gosto Fast Food,0,0,0,0,1,32,0,0,1,32
Imstarvingfood,0,0,1,32,0,0,0,0,1,32
Jomane,0,0,0,0,1,32,0,0,1,32
Meryam Officiel,0,0,0,0,1,32,0,0,1,32
Teyr Ellil,0,0,1,32,0,0,0,0,1,32
Fontaine Dor,0,0,1,31,0,0,0,0,1,31
Panera,0,0,0,0,1,31,0,0,1,31
Denatelo Annaba,0,0,0,0,1,29,0,0,1,29
Italianefood31,0,0,0,0,1,29,0,0,1,29
Lasombra,0,0,0,0,1,29,0,0,1,29
Soltane El Kababe,0,0,0,0,1,29,0,0,1,29
Hafakafood,0,0,0,0,1,28,0,0,1,28
Nordik,0,0,0,0,1,28,0,0,1,28
Vibe Bistrot,0,0,0,0,1,28,0,0,1,28
Bakhcis Oran,0,0,0,0,1,27,0,0,1,27
Restaurantcarthage,0,0,0,0,1,27,0,0,1,27
Sebs Garden,0,0,0,0,1,27,0,0,1,27
Spartacos2019/,0,0,1,27,0,0,0,0,1,27
Lamignonne06Bejaia,0,0,0,0,1,26,0,0,1,26
Carre Restaurantalg,0,0,1,25,0,0,0,0,1,25
Megapizza Boussouf,0,0,1,25,0,0,0,0,1,25
Pizza Carie Touati,0,0,0,0,1,25,0,0,1,25
Thaisty,0,0,0,0,1,25,0,0,1,25
Darlmima,0,0,0,0,1,24,0,0,1,24
Gazouzafood2019,0,0,0,0,1,23,0,0,1,23
Memelkateelkabda,0,0,0,0,1,23,0,0,1,23
New Yorkais,0,0,0,0,1,22,0,0,1,22
Sushigardendz,0,0,1,22,0,0,0,0,1,22
Wonder Food S,0,0,1,22,0,0,0,0,1,22
Hocine Chapati,0,0,0,0,1,21,0,0,1,21
Farouk Tacos,0,0,0,0,1,20,0,0,1,20
Hotspot,0,0,1,20,0,0,0,0,1,20
