comment_id,platform,source_name,comment_text,date,likesCount,video_id,video_url,restaurant
Y29tbWVudDoxMzg5MjU5NjM5MjI1MDc3XzExOTkwMTgyNzU2MjQzMTY=,facebook,Abd Elhalim,Des prix très raisonnables,2025-11-20T17:34:22.000Z,0,1389259639225077,https://www.facebook.com/share/r/1ArHJBWzVE/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzE4NDA1MzkwMjMyMTkwMDQ=,facebook,Lobo Solitario,فيونداشي ماشي طايب مليح,2025-10-30T08:31:11.000Z,8,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzgzNTA0MTIxMjI0MzA4MQ==,facebook,Quelqu'un De Contïnent Noïr,Khattik khedma,2025-10-30T12:54:21.000Z,0,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzE1NjcxNjAwMTc5NzU2MzI=,facebook,Danni Djemame,وصفة الخبز من فضلك,2025-11-01T01:24:12.000Z,0,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzE4NDQ5NDM5MjM1NzUwMzI=,facebook,فر دوس,لعظام نية 🤮🤮🤮,2026-01-04T11:17:27.000Z,0,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0Xzc5NDQxNjQxNjc0ODM3MQ==,facebook,Nounoü Męssaoudï,مرض,2025-10-31T01:11:45.000Z,0,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzIyNTAwNzAyNDIxNzg5NzU=,facebook,زهرة الأمل,خخخخ بيض حاشا طعام ربي 😏 😏 😏 😏 مرحبا,2025-10-30T06:25:32.000Z,4,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzE0ODQxMjM2NTU5OTY4MTU=,facebook,Oum Maram,وهاذي تقهويتو بيها ولا واش,2025-10-30T06:56:16.000Z,3,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzgzNTUyNTQzNjA1MjQ5OQ==,facebook,So Binas,"مادارا والو الطاقم زيرو معاملة و تعامل تحت الصفر 
كاااارثة و خلاص",2025-12-27T20:47:55.000Z,2,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzE2NDg4OTE3MzI3NjEzODA=,facebook,Sara Zaki,😮خرج قلبي ما يشهيش و زيد طريقة الاكل و الالفاظ الصامطين .,2026-01-22T14:16:16.000Z,0,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzE2MDY5MDc0MjcxNzI5MTY=,facebook,Aziz Akrour,لقيا يا ربك,2026-01-27T17:31:31.000Z,0,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
Y29tbWVudDoxMzcyMTQwNjA0MjcwMzE0XzMyMjMyMzYzOTQ1MjA3Nzc=,facebook,Wiss AL,Mohamed Berkani ysahl,2026-01-04T15:09:57.000Z,0,1372140604270314,https://www.facebook.com/share/r/18EWjKgrdG/,Hichem Cook
