emoji,count,description
🌋,4,volcano
🤟,4,love-you_gesture
💵,4,dollar_banknote
👍🏾,4,thumbs_up_medium-dark_skin_tone
🍟,4,french_fries
😤,4,face_with_steam_from_nose
👉,4,backhand_index_pointing_right
🕺,4,man_dancing
🚚,4,delivery_truck
🙊,4,speak-no-evil_monkey
🤦🏼‍♀️,4,woman_facepalming_medium-light_skin_tone
❤️‍🩹,4,mending_heart
👎🏼,4,thumbs_down_medium-light_skin_tone
👍🏽,4,thumbs_up_medium_skin_tone
🤌🏼,4,pinched_fingers_medium-light_skin_tone
‼️,4,double_exclamation_mark
🌅,4,sunrise
🏝,4,desert_island
🔸,4,small_orange_diamond
🌿,4,herb
↖️,4,up-left_arrow
🌝,4,full_moon_face
👩‍❤️‍👩,4,couple_with_heart_woman_woman
🔱,4,trident_emblem
🇨🇵,4,Clipperton_Island
🤏,4,pinching_hand
👌🏽,4,OK_hand_medium_skin_tone
🇮🇱,4,Israel
🇲🇫,4,St._Martin
🥂,4,clinking_glasses
✖️,4,multiply
🪰,4,fly
🌄,4,sunrise_over_mountains
💅,4,nail_polish
🍰,4,shortcake
🚩,4,triangular_flag
↘️,4,down-right_arrow
👈,4,backhand_index_pointing_left
🐋,4,whale
🍜,3,steaming_bowl
💳,3,credit_card
🐙,3,octopus
🏳️‍🌈,3,rainbow_flag
🐚,3,spiral_shell
🫢,3,face_with_open_eyes_and_hand_over_mouth
🌼,3,blossom
🧜‍♀️,3,mermaid
💥,3,collision
😨,3,fearful_face
🐺,3,wolf
⌛,3,hourglass_done
🪴,3,potted_plant
🍯,3,honey_pot
🔮,3,crystal_ball
👌🏾,3,OK_hand_medium-dark_skin_tone
😓,3,downcast_face_with_sweat
🐠,3,tropical_fish
😷,3,face_with_medical_mask
💁‍♀️,3,woman_tipping_hand
🗣️,3,speaking_head
✈️,3,airplane
🙉,3,hear-no-evil_monkey
❗,3,red_exclamation_mark
➡️,3,right_arrow
🍸,3,cocktail_glass
🍹,3,tropical_drink
🕯️,3,candle
🌞,3,sun_with_face
🫧,3,bubbles
🥊,3,boxing_glove
🫦,3,biting_lip
🎵,3,musical_note
🇳🇬,3,Nigeria
🍗,3,poultry_leg
🙂‍↕️,3,head_shaking_vertically
🏆,3,trophy
🧸,3,teddy_bear
🙌🏻,3,raising_hands_light_skin_tone
🧚🏾‍♀️,3,woman_fairy_medium-dark_skin_tone
🍷,3,wine_glass
⚓,3,anchor
☠️,3,skull_and_crossbones
🙌🏼,3,raising_hands_medium-light_skin_tone
💸,3,money_with_wings
🐰,3,rabbit_face
🍑,3,peach
🍖,3,meat_on_bone
🐸,3,frog
🖖,3,vulcan_salute
🤛,3,left-facing_fist
🌻,3,sunflower
😮‍💨,3,face_exhaling
🍞,3,bread
🤧,3,sneezing_face
🤷🏻‍♀️,3,woman_shrugging_light_skin_tone
😈,3,smiling_face_with_horns
🤷‍♂️,3,man_shrugging
❎,3,cross_mark_button
🤫,3,shushing_face
🥱,3,yawning_face
🥗,2,green_salad
🥥,2,coconut
🤜,2,right-facing_fist
🦂,2,scorpion
👊🏼,2,oncoming_fist_medium-light_skin_tone
🪻,2,hyacinth
👊,2,oncoming_fist
👨🏻‍🍳,2,man_cook_light_skin_tone
🥷,2,ninja
🇪🇸,2,Spain
🧀,2,cheese_wedge
🍽️,2,fork_and_knife_with_plate
🍒,2,cherries
🚢,2,ship
🤴,2,prince
🔨,2,hammer
🌎,2,globe_showing_Americas
✋,2,raised_hand
❄️,2,snowflake
🎅🏻,2,Santa_Claus_light_skin_tone
🇱🇧,2,Lebanon
🇹🇷,2,Türkiye
♠,2,spade_suit
🍮,2,custard
🩺,2,stethoscope
🎊,2,confetti_ball
👸,2,princess
🧊,2,ice
🤷🏻,2,person_shrugging_light_skin_tone
👽,2,alien
◾,2,black_medium-small_square
🍄,2,mushroom
💨,2,dashing_away
🇸🇩,2,Sudan
🌴,2,palm_tree
🍋,2,lemon
🍎,2,red_apple
🤌🏽,2,pinched_fingers_medium_skin_tone
🍾,2,bottle_with_popping_cork
🤷‍♀️,2,woman_shrugging
🌍,2,globe_showing_Europe-Africa
🥑,2,avocado
🚨,2,police_car_light
🫶🏽,2,heart_hands_medium_skin_tone
🔷,2,large_blue_diamond
🔶,2,large_orange_diamond
💠,2,diamond_with_a_dot
🔞,2,no_one_under_eighteen
🍫,2,chocolate_bar
🌲,2,evergreen_tree
🌔,2,waxing_gibbous_moon
🔴,2,red_circle
☑️,2,check_box_with_check
✍️,2,writing_hand
📞,2,telephone_receiver
👅,2,tongue
🫩,2,face_with_bags_under_eyes
🐳,2,spouting_whale
⚜️,2,fleur-de-lis
🐻,2,bear
♊,2,Gemini
👺,2,goblin
🍅,2,tomato
🎩,2,top_hat
😣,2,persevering_face
👼🏼,2,baby_angel_medium-light_skin_tone
🦅,2,eagle
🌀,2,cyclone
😵,2,face_with_crossed-out_eyes
🐾,2,paw_prints
🤲🏿,2,palms_up_together_dark_skin_tone
🙆,2,person_gesturing_OK
🐬,2,dolphin
🪞,2,mirror
🦦,2,otter
📸,2,camera_with_flash
🤦‍♂️,2,man_facepalming
🧚🏻‍♂️,2,man_fairy_light_skin_tone
🐥,2,front-facing_baby_chick
⚖️,2,balance_scale
👻,2,ghost
🤳🏻,1,selfie_light_skin_tone
🫅,1,person_with_crown
🫂,1,people_hugging
🇧🇷,1,Brazil
🧷,1,safety_pin
🍛,1,curry_rice
🍲,1,pot_of_food
🥫,1,canned_food
🇺🇲,1,U.S._Outlying_Islands
🇲🇽,1,Mexico
💤,1,ZZZ
📌,1,pushpin
🤷🏽‍♂,1,man_shrugging_medium_skin_tone
🧪,1,test_tube
🥷🏽,1,ninja_medium_skin_tone
🫱🏽‍🫲🏼,1,handshake_medium_skin_tone_medium-light_skin_tone
🧿,1,nazar_amulet
🌈,1,rainbow
🏷,1,label
🎬,1,clapper_board
🃏,1,joker
🦚,1,peacock
🤙,1,call_me_hand
👗,1,dress
🧜🏼‍♀️,1,mermaid_medium-light_skin_tone
🏂,1,snowboarder
🌕,1,full_moon
🕋,1,kaaba
🤷,1,person_shrugging
🌓,1,first_quarter_moon
🕸️,1,spider_web
🏃‍♂️,1,man_running
🏃‍♂,1,man_running
🏳️,1,white_flag
🤚,1,raised_back_of_hand
⛱,1,umbrella_on_ground
🛶,1,canoe
🌛,1,first_quarter_moon_face
✍,1,writing_hand
🇦🇷,1,Argentina
🦾,1,mechanical_arm
🧚🏻‍♀️,1,woman_fairy_light_skin_tone
💅🏻,1,nail_polish_light_skin_tone
🤜🏽,1,right-facing_fist_medium_skin_tone
🤛🏽,1,left-facing_fist_medium_skin_tone
🇦🇪,1,United_Arab_Emirates
➡,1,right_arrow
🫤,1,face_with_diagonal_mouth
👋🏼,1,waving_hand_medium-light_skin_tone
😛,1,face_with_tongue
⛰,1,mountain
👧🏼,1,girl_medium-light_skin_tone
☁,1,cloud
🩳,1,shorts
🫴,1,palm_up_hand
📿,1,prayer_beads
🇯🇵,1,Japan
🙁,1,slightly_frowning_face
✊🏻,1,raised_fist_light_skin_tone
🇨🇩,1,Congo-Kinshasa
🌯,1,burrito
🐧,1,penguin
🎇,1,sparkler
🙌🏽,1,raising_hands_medium_skin_tone
🫵,1,index_pointing_at_the_viewer
✈,1,airplane
👉🏼,1,backhand_index_pointing_right_medium-light_skin_tone
🆒,1,COOL_button
⌚,1,watch
🇲🇿,1,Mozambique
🇪🇺,1,European_Union
🦍,1,gorilla
🙅🏻‍♀️,1,woman_gesturing_NO_light_skin_tone
🀄,1,mahjong_red_dragon
🧁,1,cupcake
🍴,1,fork_and_knife
🇹🇭,1,Thailand
🍝,1,spaghetti
🙅🏽,1,person_gesturing_NO_medium_skin_tone
😙,1,kissing_face_with_smiling_eyes
🔕,1,bell_with_slash
🤦🏽,1,person_facepalming_medium_skin_tone
🩹,1,adhesive_bandage
🦀,1,crab
🥋,1,martial_arts_uniform
🫰🏻,1,hand_with_index_finger_and_thumb_crossed_light_skin_tone
💪🏿,1,flexed_biceps_dark_skin_tone
🙏🏿,1,folded_hands_dark_skin_tone
🪵,1,wood
🪄,1,magic_wand
🩸,1,drop_of_blood
🪽,1,wing
🗽,1,Statue_of_Liberty
🦢,1,swan
⁉,1,exclamation_question_mark
🙂‍↔️,1,head_shaking_horizontally
🇸🇪,1,Sweden
🇪🇭,1,Western_Sahara
😴,1,sleeping_face
💣,1,bomb
🥡,1,takeout_box
🪫,1,low_battery
🤦‍♂,1,man_facepalming
🟢,1,green_circle
🧶,1,yarn
🥃,1,tumbler_glass
📢,1,loudspeaker
😯,1,hushed_face
🍆,1,eggplant
🔍,1,magnifying_glass_tilted_left
🙆🏻‍♂️,1,man_gesturing_OK_light_skin_tone
🚶,1,person_walking
🤦🏼‍♂️,1,man_facepalming_medium-light_skin_tone
🌶,1,hot_pepper
🇯🇲,1,Jamaica
🖐,1,hand_with_fingers_splayed
😧,1,anguished_face
🔒,1,locked
☂️,1,umbrella
🚛,1,articulated_lorry
🫖,1,teapot
😗,1,kissing_face
🆗,1,OK_button
🤷🏻‍♂️,1,man_shrugging_light_skin_tone
🙆🏻‍♀️,1,woman_gesturing_OK_light_skin_tone
😽,1,kissing_cat
🫵🏻,1,index_pointing_at_the_viewer_light_skin_tone
☘️,1,shamrock
🧃,1,beverage_box
🐼,1,panda
♐,1,Sagittarius
