comment_id,platform,source_name,user_name,comment_text,date,likesCount,video_id,video_url,hashtag
7581555949333480203,tiktok,@le_dauphin_restaurant,jsp,الله اكتر متالك. bravo,2026-01-02T18:00:52.656729,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7585655992143397639,tiktok,@le_dauphin_restaurant,Restaurant le délice,Lahiberek mashelah Vraiment c'est professionnel,2026-01-02T18:00:52.656732,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581566048634323768,tiktok,@le_dauphin_restaurant,bilalle vrai,les Kabyles 😎😎😎,2026-01-02T18:00:52.656735,1,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7583415630985806593,tiktok,@le_dauphin_restaurant,samirou,kamel imoune c'est un ami,2026-01-02T18:00:52.656737,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581866598216221452,tiktok,@le_dauphin_restaurant,M&H crêpe 🇩🇿🇩🇿🇩🇿🥞🥞,li mandoch ydji yakol battal,2026-01-02T18:00:52.656740,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7586352957530014486,tiktok,@le_dauphin_restaurant,lolo 1357,Machallah Allah Ebrke,2026-01-02T18:00:52.656742,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7585183638355985174,tiktok,@le_dauphin_restaurant,Kamel,👏👏👏 Bravo à vous ! ♥️,2026-01-02T18:00:52.656744,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581508830669210376,tiktok,@le_dauphin_restaurant,❤️thiziri 💖,bonne courage,2026-01-02T18:00:52.656747,2,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581615558208111416,tiktok,@le_dauphin_restaurant,Le_RY,Wlh ghir restau خطأ,2026-01-02T18:00:52.656749,1,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581553437302522632,tiktok,@le_dauphin_restaurant,fille dangereuse 5,sah mis nth dwala bien présenté 💛💚,2026-01-02T18:00:52.656751,1,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581516522653696786,tiktok,@le_dauphin_restaurant,24 carats,bon courage,2026-01-02T18:00:52.656753,1,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581559959927833365,tiktok,@le_dauphin_restaurant,l'italienne,zaweli meskin,2026-01-02T18:00:52.656756,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581542506186375944,tiktok,@le_dauphin_restaurant,Mlk Lounis,maître kamel l'artiste,2026-01-02T18:00:52.656758,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581586867666207510,tiktok,@le_dauphin_restaurant,Jess 69,La classe 👍,2026-01-02T18:00:53.697090,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7582266699124278024,tiktok,@le_dauphin_restaurant,coquine,délégation de pharmacie à l oeil,2026-01-02T18:00:53.697101,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581503527802897160,tiktok,@le_dauphin_restaurant,mohamed nadjib,bon courage,2026-01-02T18:00:53.697104,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581535250695930646,tiktok,@le_dauphin_restaurant,nessdzbougiotte06,Restaurant juste incroyable je recommande,2026-01-02T18:00:53.697106,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581599902477468423,tiktok,@le_dauphin_restaurant,Mohamed_Demarelatrous,bravo 👏🏻 👏🏻,2026-01-02T18:00:53.697108,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
